# FSPS UV calibration generated by native FSPS v4.0.
# FSPS source: /home/czkong/software/fsps
# Native driver: /home/czkong/GC-BH_Model/FSPS/FSPS_PARSEC_C3KLR; IMF: kroupa; SFH: ssp.
# Spectrum is rest-frame vacuum L_nu per initially formed solar mass; no filter integration is used.
# Wavelength: 1450 Angstrom; native bracket: 1447.734615, 1454.991415 Angstrom.
# Age grid: 99 logarithmically spaced points, min=1.0000000000e-04 Gyr, max=0.7643904854974003 Gyr.
# Metallicity grid: 99 points, uniform in log10(Z/Zsun), range=-2.182984956 to 0.5951662939.
# Metallicity interpolation: linear in L_nu between native [Fe/H] points; native range=-2.182984956 to 0.5951662939.
# M_AB = -2.5*log10(L_nu[Lsun/Hz]) - 32.365766193400795.
age_gyr,log10_age_gyr,feh,z_ratio,M1450_AB_per_Msun
2.7282384577e-04,-3.5641176735e+00,-1.7294092421e+00,1.8646218021e-02,-4.2555149620e-01
2.7282384577e-04,-3.5641176735e+00,-1.7010607600e+00,1.9903948534e-02,-4.3303745042e-01
2.7282384577e-04,-3.5641176735e+00,-1.6727122778e+00,2.1246515878e-02,-4.4047214357e-01
2.7282384577e-04,-3.5641176735e+00,-1.6443637957e+00,2.2679642493e-02,-4.4785627292e-01
2.7282384577e-04,-3.5641176735e+00,-1.6160153135e+00,2.4209436812e-02,-4.5519052160e-01
2.7282384577e-04,-3.5641176735e+00,-1.5876668314e+00,2.5842419293e-02,-4.6247555899e-01
2.7282384577e-04,-3.5641176735e+00,-1.5593183492e+00,2.7585550219e-02,-4.6971204109e-01
2.7282384577e-04,-3.5641176735e+00,-1.5309698671e+00,2.9446259356e-02,-4.7690061086e-01
2.7282384577e-04,-3.5641176735e+00,-1.5026213849e+00,3.1432477625e-02,-4.8404189859e-01
2.7282384577e-04,-3.5641176735e+00,-1.4742729028e+00,3.3552670909e-02,-4.9097163938e-01
2.7282384577e-04,-3.5641176735e+00,-1.4459244206e+00,3.5815876131e-02,-4.9754444201e-01
2.7282384577e-04,-3.5641176735e+00,-1.4175759385e+00,3.8231739777e-02,-5.0407769368e-01
2.7282384577e-04,-3.5641176735e+00,-1.3892274563e+00,4.0810559012e-02,-5.1057186754e-01
2.7282384577e-04,-3.5641176735e+00,-1.3608789742e+00,4.3563325566e-02,-5.1702742828e-01
2.7282384577e-04,-3.5641176735e+00,-1.3325304920e+00,4.6501772588e-02,-5.2344483237e-01
2.7282384577e-04,-3.5641176735e+00,-1.3041820099e+00,4.9638424655e-02,-5.2982452821e-01
2.7282384577e-04,-3.5641176735e+00,-1.2758335278e+00,5.2986651156e-02,-5.3616695637e-01
2.7282384577e-04,-3.5641176735e+00,-1.2474850456e+00,5.6560723274e-02,-5.4247254971e-01
2.7282384577e-04,-3.5641176735e+00,-1.2191365635e+00,6.0375874820e-02,-5.4874173363e-01
2.7282384577e-04,-3.5641176735e+00,-1.1907880813e+00,6.4448367158e-02,-5.5497492617e-01
2.7282384577e-04,-3.5641176735e+00,-1.1624395992e+00,6.8795558519e-02,-5.6273254189e-01
2.7282384577e-04,-3.5641176735e+00,-1.1340911170e+00,7.3435977987e-02,-5.7102284150e-01
2.7282384577e-04,-3.5641176735e+00,-1.1057426349e+00,7.8389404477e-02,-5.7925031868e-01
2.7282384577e-04,-3.5641176735e+00,-1.0773941527e+00,8.3676951035e-02,-5.8741591840e-01
2.7282384577e-04,-3.5641176735e+00,-1.0490456706e+00,8.9321154832e-02,-5.9552056445e-01
2.7282384577e-04,-3.5641176735e+00,-1.0206971884e+00,9.5346073224e-02,-6.0356516009e-01
2.7282384577e-04,-3.5641176735e+00,-9.9234870628e-01,1.0177738629e-01,-6.1155058865e-01
2.7282384577e-04,-3.5641176735e+00,-9.6400022414e-01,1.0864250629e-01,-6.1947771413e-01
2.7282384577e-04,-3.5641176735e+00,-9.3565174199e-01,1.1597069451e-01,-6.2734738171e-01
2.7282384577e-04,-3.5641176735e+00,-9.0730325984e-01,1.2379318596e-01,-6.3516041834e-01
2.7282384577e-04,-3.5641176735e+00,-8.7895477770e-01,1.3214332255e-01,-6.4255149578e-01
2.7282384577e-04,-3.5641176735e+00,-8.5060629555e-01,1.4105669515e-01,-6.4681510375e-01
2.7282384577e-04,-3.5641176735e+00,-8.2225781340e-01,1.5057129535e-01,-6.5106203430e-01
2.7282384577e-04,-3.5641176735e+00,-7.9390933126e-01,1.6072767732e-01,-6.5529241741e-01
2.7282384577e-04,-3.5641176735e+00,-7.6556084911e-01,1.7156913073e-01,-6.5950638151e-01
2.7282384577e-04,-3.5641176735e+00,-7.3721236696e-01,1.8314186525e-01,-6.6370405357e-01
2.7282384577e-04,-3.5641176735e+00,-7.0886388481e-01,1.9549520746e-01,-6.6788555908e-01
2.7282384577e-04,-3.5641176735e+00,-6.8051540267e-01,2.0868181116e-01,-6.7205102209e-01
2.7282384577e-04,-3.5641176735e+00,-6.5216692052e-01,2.2275788177e-01,-6.7620056521e-01
2.7282384577e-04,-3.5641176735e+00,-6.2381843837e-01,2.3778341588e-01,-6.8033430968e-01
2.7282384577e-04,-3.5641176735e+00,-5.9546995623e-01,2.5382245701e-01,-6.8445237534e-01
2.7282384577e-04,-3.5641176735e+00,-5.6712147408e-01,2.7094336853e-01,-6.9400402465e-01
2.7282384577e-04,-3.5641176735e+00,-5.3877299193e-01,2.8921912513e-01,-7.0913533028e-01
2.7282384577e-04,-3.5641176735e+00,-5.1042450979e-01,3.0872762375e-01,-7.2405865446e-01
2.7282384577e-04,-3.5641176735e+00,-4.8207602764e-01,3.2955201571e-01,-7.3877963723e-01
2.7282384577e-04,-3.5641176735e+00,-4.5372754549e-01,3.5178106106e-01,-7.5330369223e-01
2.7282384577e-04,-3.5641176735e+00,-4.2537906335e-01,3.7550950690e-01,-7.6763601874e-01
2.7282384577e-04,-3.5641176735e+00,-3.9703058120e-01,4.0083849126e-01,-7.8048890280e-01
2.7282384577e-04,-3.5641176735e+00,-3.6868209905e-01,4.2787597419e-01,-7.8982010961e-01
2.7282384577e-04,-3.5641176735e+00,-3.4033361691e-01,4.5673719784e-01,-7.9907180355e-01
2.7282384577e-04,-3.5641176735e+00,-3.1198513476e-01,4.8754517775e-01,-8.0824532828e-01
2.7282384577e-04,-3.5641176735e+00,-2.8363665261e-01,5.2043122713e-01,-8.1734199365e-01
2.7282384577e-04,-3.5641176735e+00,-2.5528817047e-01,5.5553551657e-01,-8.1781256137e-01
2.7282384577e-04,-3.5641176735e+00,-2.2693968832e-01,5.9300767148e-01,-8.1697739075e-01
2.7282384577e-04,-3.5641176735e+00,-1.9859120617e-01,6.3300740988e-01,-8.1614157720e-01
2.7282384577e-04,-3.5641176735e+00,-1.7024272403e-01,6.7570522311e-01,-8.2096935733e-01
2.7282384577e-04,-3.5641176735e+00,-1.4189424188e-01,7.2128310255e-01,-8.3264274033e-01
2.7282384577e-04,-3.5641176735e+00,-1.1354575973e-01,7.6993531533e-01,-8.4419194985e-01
2.7282384577e-04,-3.5641176735e+00,-8.5197277586e-02,8.2186923233e-01,-8.5561959987e-01
2.7282384577e-04,-3.5641176735e+00,-5.6848795439e-02,8.7730621211e-01,-8.6692822267e-01
2.7282384577e-04,-3.5641176735e+00,-2.8500313292e-02,9.3648254433e-01,-8.8224347016e-01
2.7282384577e-04,-3.5641176735e+00,-1.5183114563e-04,9.9965045697e-01,-9.0701192839e-01
2.7282384577e-04,-3.5641176735e+00,2.8196651001e-02,1.0670791914e+00,-9.3122793333e-01
2.7282384577e-04,-3.5641176735e+00,5.6545133148e-02,1.1390561498e+00,-9.3646516322e-01
2.7282384577e-04,-3.5641176735e+00,8.4893615295e-02,1.2158881204e+00,-9.0165736961e-01
2.7282384577e-04,-3.5641176735e+00,1.1324209744e-01,1.2979025851e+00,-8.6569660188e-01
2.7282384577e-04,-3.5641176735e+00,1.4159057959e-01,1.3854491150e+00,-8.7829729064e-01
2.7282384577e-04,-3.5641176735e+00,1.6993906173e-01,1.4789008608e+00,-9.0052381172e-01
2.7282384577e-04,-3.5641176735e+00,1.9828754388e-01,1.5786561429e+00,-9.2230443801e-01
2.7282384577e-04,-3.5641176735e+00,2.2663602603e-01,1.6851401494e+00,-9.4365670876e-01
2.7282384577e-04,-3.5641176735e+00,2.5498450818e-01,1.7988067483e+00,-9.6459714829e-01
2.7282384577e-04,-3.5641176735e+00,2.8333299032e-01,1.9201404221e+00,-9.8514134282e-01
2.7282384577e-04,-3.5641176735e+00,3.1168147247e-01,2.0496583327e+00,-1.0115414052e+00
2.7282384577e-04,-3.5641176735e+00,3.4002995462e-01,2.1879125257e+00,-1.0410481038e+00
2.7282384577e-04,-3.5641176735e+00,3.6837843676e-01,2.3354922838e+00,-1.0697740792e+00
2.7282384577e-04,-3.5641176735e+00,3.9672691891e-01,2.4930266377e+00,-1.0977595832e+00
2.7282384577e-04,-3.5641176735e+00,4.2507540106e-01,2.6611870479e+00,-1.0839896845e+00
2.7282384577e-04,-3.5641176735e+00,4.5342388320e-01,2.8406902666e+00,-8.9948187787e-01
2.7282384577e-04,-3.5641176735e+00,4.8177236535e-01,3.0323013924e+00,-6.7706768116e-01
2.7282384577e-04,-3.5641176735e+00,5.1012084750e-01,3.2368371316e+00,-3.9703561741e-01
2.7282384577e-04,-3.5641176735e+00,5.3846932964e-01,3.4551692793e+00,-1.8687353509e-02
2.7282384577e-04,-3.5641176735e+00,5.6681781179e-01,3.6882284351e+00,5.6695568241e-01
2.7282384577e-04,-3.5641176735e+00,5.9516629394e-01,3.9370079697e+00,1.9297395850e+00
2.9888766525e-04,-3.5244920074e+00,-2.1829849564e+00,6.5616799495e-03,-3.2213949443e-01
2.9888766525e-04,-3.5244920074e+00,-2.1546364743e+00,7.0042804319e-03,-3.2815316792e-01
2.9888766525e-04,-3.5244920074e+00,-2.1262879922e+00,7.4767353400e-03,-3.3413371628e-01
2.9888766525e-04,-3.5244920074e+00,-2.0979395100e+00,7.9810584239e-03,-3.4008150244e-01
2.9888766525e-04,-3.5244920074e+00,-2.0695910279e+00,8.5193992657e-03,-3.4599688338e-01
2.9888766525e-04,-3.5244920074e+00,-2.0412425457e+00,9.0940524419e-03,-3.5188021031e-01
2.9888766525e-04,-3.5244920074e+00,-2.0128940636e+00,9.7074673034e-03,-3.5773182873e-01
2.9888766525e-04,-3.5244920074e+00,-1.9845455814e+00,1.0362258415e-02,-3.6355207862e-01
2.9888766525e-04,-3.5244920074e+00,-1.9561970993e+00,1.1061216702e-02,-3.6934129448e-01
2.9888766525e-04,-3.5244920074e+00,-1.9278486171e+00,1.1807321340e-02,-3.7509980551e-01
2.9888766525e-04,-3.5244920074e+00,-1.8995001350e+00,1.2603752462e-02,-3.8082793570e-01
2.9888766525e-04,-3.5244920074e+00,-1.8711516528e+00,1.3453904703e-02,-3.8732736529e-01
2.9888766525e-04,-3.5244920074e+00,-1.8428031707e+00,1.4361401679e-02,-3.9508060656e-01
2.9888766525e-04,-3.5244920074e+00,-1.8144546885e+00,1.5330111424e-02,-4.0277887428e-01
2.9888766525e-04,-3.5244920074e+00,-1.7861062064e+00,1.6364162881e-02,-4.1042294252e-01
2.9888766525e-04,-3.5244920074e+00,-1.7577577242e+00,1.7467963499e-02,-4.1801356914e-01
2.9888766525e-04,-3.5244920074e+00,-1.7294092421e+00,1.8646218021e-02,-4.2555149620e-01
2.9888766525e-04,-3.5244920074e+00,-1.7010607600e+00,1.9903948534e-02,-4.3303745042e-01
2.9888766525e-04,-3.5244920074e+00,-1.6727122778e+00,2.1246515878e-02,-4.4047214357e-01
2.9888766525e-04,-3.5244920074e+00,-1.6443637957e+00,2.2679642493e-02,-4.4785627292e-01
2.9888766525e-04,-3.5244920074e+00,-1.6160153135e+00,2.4209436812e-02,-4.5519052160e-01
2.9888766525e-04,-3.5244920074e+00,-1.5876668314e+00,2.5842419293e-02,-4.6247555899e-01
2.9888766525e-04,-3.5244920074e+00,-1.5593183492e+00,2.7585550219e-02,-4.6971204109e-01
2.9888766525e-04,-3.5244920074e+00,-1.5309698671e+00,2.9446259356e-02,-4.7690061086e-01
2.9888766525e-04,-3.5244920074e+00,-1.5026213849e+00,3.1432477625e-02,-4.8404189859e-01
2.9888766525e-04,-3.5244920074e+00,-1.4742729028e+00,3.3552670909e-02,-4.9097163938e-01
2.9888766525e-04,-3.5244920074e+00,-1.4459244206e+00,3.5815876131e-02,-4.9754444201e-01
2.9888766525e-04,-3.5244920074e+00,-1.4175759385e+00,3.8231739777e-02,-5.0407769368e-01
2.9888766525e-04,-3.5244920074e+00,-1.3892274563e+00,4.0810559012e-02,-5.1057186754e-01
2.9888766525e-04,-3.5244920074e+00,-1.3608789742e+00,4.3563325566e-02,-5.1702742828e-01
2.9888766525e-04,-3.5244920074e+00,-1.3325304920e+00,4.6501772588e-02,-5.2344483237e-01
2.9888766525e-04,-3.5244920074e+00,-1.3041820099e+00,4.9638424655e-02,-5.2982452821e-01
2.9888766525e-04,-3.5244920074e+00,-1.2758335278e+00,5.2986651156e-02,-5.3616695637e-01
2.9888766525e-04,-3.5244920074e+00,-1.2474850456e+00,5.6560723274e-02,-5.4247254971e-01
2.9888766525e-04,-3.5244920074e+00,-1.2191365635e+00,6.0375874820e-02,-5.4874173363e-01
2.9888766525e-04,-3.5244920074e+00,-1.1907880813e+00,6.4448367158e-02,-5.5497492617e-01
2.9888766525e-04,-3.5244920074e+00,-1.1624395992e+00,6.8795558519e-02,-5.6273254189e-01
2.9888766525e-04,-3.5244920074e+00,-1.1340911170e+00,7.3435977987e-02,-5.7102284150e-01
2.9888766525e-04,-3.5244920074e+00,-1.1057426349e+00,7.8389404477e-02,-5.7925031868e-01
2.9888766525e-04,-3.5244920074e+00,-1.0773941527e+00,8.3676951035e-02,-5.8741591840e-01
2.9888766525e-04,-3.5244920074e+00,-1.0490456706e+00,8.9321154832e-02,-5.9552056445e-01
2.9888766525e-04,-3.5244920074e+00,-1.0206971884e+00,9.5346073224e-02,-6.0356516009e-01
2.9888766525e-04,-3.5244920074e+00,-9.9234870628e-01,1.0177738629e-01,-6.1155058865e-01
2.9888766525e-04,-3.5244920074e+00,-9.6400022414e-01,1.0864250629e-01,-6.1947771413e-01
2.9888766525e-04,-3.5244920074e+00,-9.3565174199e-01,1.1597069451e-01,-6.2734738171e-01
2.9888766525e-04,-3.5244920074e+00,-9.0730325984e-01,1.2379318596e-01,-6.3516041834e-01
2.9888766525e-04,-3.5244920074e+00,-8.7895477770e-01,1.3214332255e-01,-6.4255149578e-01
2.9888766525e-04,-3.5244920074e+00,-8.5060629555e-01,1.4105669515e-01,-6.4681510375e-01
2.9888766525e-04,-3.5244920074e+00,-8.2225781340e-01,1.5057129535e-01,-6.5106203430e-01
2.9888766525e-04,-3.5244920074e+00,-7.9390933126e-01,1.6072767732e-01,-6.5529241741e-01
2.9888766525e-04,-3.5244920074e+00,-7.6556084911e-01,1.7156913073e-01,-6.5950638151e-01
2.9888766525e-04,-3.5244920074e+00,-7.3721236696e-01,1.8314186525e-01,-6.6370405357e-01
2.9888766525e-04,-3.5244920074e+00,-7.0886388481e-01,1.9549520746e-01,-6.6788555908e-01
2.9888766525e-04,-3.5244920074e+00,-6.8051540267e-01,2.0868181116e-01,-6.7205102209e-01
2.9888766525e-04,-3.5244920074e+00,-6.5216692052e-01,2.2275788177e-01,-6.7620056521e-01
2.9888766525e-04,-3.5244920074e+00,-6.2381843837e-01,2.3778341588e-01,-6.8033430968e-01
2.9888766525e-04,-3.5244920074e+00,-5.9546995623e-01,2.5382245701e-01,-6.8445237534e-01
2.9888766525e-04,-3.5244920074e+00,-5.6712147408e-01,2.7094336853e-01,-6.9400402465e-01
2.9888766525e-04,-3.5244920074e+00,-5.3877299193e-01,2.8921912513e-01,-7.0913533028e-01
2.9888766525e-04,-3.5244920074e+00,-5.1042450979e-01,3.0872762375e-01,-7.2405865446e-01
2.9888766525e-04,-3.5244920074e+00,-4.8207602764e-01,3.2955201571e-01,-7.3877963723e-01
2.9888766525e-04,-3.5244920074e+00,-4.5372754549e-01,3.5178106106e-01,-7.5330369223e-01
2.9888766525e-04,-3.5244920074e+00,-4.2537906335e-01,3.7550950690e-01,-7.6763601874e-01
2.9888766525e-04,-3.5244920074e+00,-3.9703058120e-01,4.0083849126e-01,-7.8048890280e-01
2.9888766525e-04,-3.5244920074e+00,-3.6868209905e-01,4.2787597419e-01,-7.8982010961e-01
2.9888766525e-04,-3.5244920074e+00,-3.4033361691e-01,4.5673719784e-01,-7.9907180355e-01
2.9888766525e-04,-3.5244920074e+00,-3.1198513476e-01,4.8754517775e-01,-8.0824532828e-01
2.9888766525e-04,-3.5244920074e+00,-2.8363665261e-01,5.2043122713e-01,-8.1734199365e-01
2.9888766525e-04,-3.5244920074e+00,-2.5528817047e-01,5.5553551657e-01,-8.1781256137e-01
2.9888766525e-04,-3.5244920074e+00,-2.2693968832e-01,5.9300767148e-01,-8.1697739075e-01
2.9888766525e-04,-3.5244920074e+00,-1.9859120617e-01,6.3300740988e-01,-8.1614157720e-01
2.9888766525e-04,-3.5244920074e+00,-1.7024272403e-01,6.7570522311e-01,-8.2096935733e-01
2.9888766525e-04,-3.5244920074e+00,-1.4189424188e-01,7.2128310255e-01,-8.3264274033e-01
2.9888766525e-04,-3.5244920074e+00,-1.1354575973e-01,7.6993531533e-01,-8.4419194985e-01
2.9888766525e-04,-3.5244920074e+00,-8.5197277586e-02,8.2186923233e-01,-8.5561959987e-01
2.9888766525e-04,-3.5244920074e+00,-5.6848795439e-02,8.7730621211e-01,-8.6692822267e-01
2.9888766525e-04,-3.5244920074e+00,-2.8500313292e-02,9.3648254433e-01,-8.8224347016e-01
2.9888766525e-04,-3.5244920074e+00,-1.5183114563e-04,9.9965045697e-01,-9.0701192839e-01
2.9888766525e-04,-3.5244920074e+00,2.8196651001e-02,1.0670791914e+00,-9.3122793333e-01
2.9888766525e-04,-3.5244920074e+00,5.6545133148e-02,1.1390561498e+00,-9.3646516322e-01
2.9888766525e-04,-3.5244920074e+00,8.4893615295e-02,1.2158881204e+00,-9.0165736961e-01
2.9888766525e-04,-3.5244920074e+00,1.1324209744e-01,1.2979025851e+00,-8.6569660188e-01
2.9888766525e-04,-3.5244920074e+00,1.4159057959e-01,1.3854491150e+00,-8.7829729064e-01
2.9888766525e-04,-3.5244920074e+00,1.6993906173e-01,1.4789008608e+00,-9.0052381172e-01
2.9888766525e-04,-3.5244920074e+00,1.9828754388e-01,1.5786561429e+00,-9.2230443801e-01
2.9888766525e-04,-3.5244920074e+00,2.2663602603e-01,1.6851401494e+00,-9.4365670876e-01
2.9888766525e-04,-3.5244920074e+00,2.5498450818e-01,1.7988067483e+00,-9.6459714829e-01
2.9888766525e-04,-3.5244920074e+00,2.8333299032e-01,1.9201404221e+00,-9.8514134282e-01
2.9888766525e-04,-3.5244920074e+00,3.1168147247e-01,2.0496583327e+00,-1.0115414052e+00
2.9888766525e-04,-3.5244920074e+00,3.4002995462e-01,2.1879125257e+00,-1.0410481038e+00
2.9888766525e-04,-3.5244920074e+00,3.6837843676e-01,2.3354922838e+00,-1.0697740792e+00
2.9888766525e-04,-3.5244920074e+00,3.9672691891e-01,2.4930266377e+00,-1.0977595832e+00
2.9888766525e-04,-3.5244920074e+00,4.2507540106e-01,2.6611870479e+00,-1.0839896845e+00
2.9888766525e-04,-3.5244920074e+00,4.5342388320e-01,2.8406902666e+00,-8.9948187787e-01
2.9888766525e-04,-3.5244920074e+00,4.8177236535e-01,3.0323013924e+00,-6.7706768116e-01
2.9888766525e-04,-3.5244920074e+00,5.1012084750e-01,3.2368371316e+00,-3.9703561741e-01
2.9888766525e-04,-3.5244920074e+00,5.3846932964e-01,3.4551692793e+00,-1.8687353509e-02
2.9888766525e-04,-3.5244920074e+00,5.6681781179e-01,3.6882284351e+00,5.6695568241e-01
2.9888766525e-04,-3.5244920074e+00,5.9516629394e-01,3.9370079697e+00,1.9297395850e+00
3.2744145287e-04,-3.4848663414e+00,-2.1829849564e+00,6.5616799495e-03,-3.1540102734e-01
3.2744145287e-04,-3.4848663414e+00,-2.1546364743e+00,7.0042804319e-03,-3.2254661609e-01
3.2744145287e-04,-3.4848663414e+00,-2.1262879922e+00,7.4767353400e-03,-3.2964548468e-01
3.2744145287e-04,-3.4848663414e+00,-2.0979395100e+00,7.9810584239e-03,-3.3669824007e-01
3.2744145287e-04,-3.4848663414e+00,-2.0695910279e+00,8.5193992657e-03,-3.4370547749e-01
3.2744145287e-04,-3.4848663414e+00,-2.0412425457e+00,9.0940524419e-03,-3.5066778073e-01
3.2744145287e-04,-3.4848663414e+00,-2.0128940636e+00,9.7074673034e-03,-3.5758572238e-01
3.2744145287e-04,-3.4848663414e+00,-1.9845455814e+00,1.0362258415e-02,-3.6445986420e-01
3.2744145287e-04,-3.4848663414e+00,-1.9561970993e+00,1.1061216702e-02,-3.7129075731e-01
3.2744145287e-04,-3.4848663414e+00,-1.9278486171e+00,1.1807321340e-02,-3.7807894251e-01
3.2744145287e-04,-3.4848663414e+00,-1.8995001350e+00,1.2603752462e-02,-3.8482495053e-01
3.2744145287e-04,-3.4848663414e+00,-1.8711516528e+00,1.3453904703e-02,-3.9186750338e-01
3.2744145287e-04,-3.4848663414e+00,-1.8428031707e+00,1.4361401679e-02,-3.9941017651e-01
3.2744145287e-04,-3.4848663414e+00,-1.8144546885e+00,1.5330111424e-02,-4.0690081155e-01
3.2744145287e-04,-3.4848663414e+00,-1.7861062064e+00,1.6364162881e-02,-4.1434012163e-01
3.2744145287e-04,-3.4848663414e+00,-1.7577577242e+00,1.7467963499e-02,-4.2172880529e-01
3.2744145287e-04,-3.4848663414e+00,-1.7294092421e+00,1.8646218021e-02,-4.2906754695e-01
3.2744145287e-04,-3.4848663414e+00,-1.7010607600e+00,1.9903948534e-02,-4.3635701721e-01
3.2744145287e-04,-3.4848663414e+00,-1.6727122778e+00,2.1246515878e-02,-4.4359787326e-01
3.2744145287e-04,-3.4848663414e+00,-1.6443637957e+00,2.2679642493e-02,-4.5079075924e-01
3.2744145287e-04,-3.4848663414e+00,-1.6160153135e+00,2.4209436812e-02,-4.5793630656e-01
3.2744145287e-04,-3.4848663414e+00,-1.5876668314e+00,2.5842419293e-02,-4.6503513426e-01
3.2744145287e-04,-3.4848663414e+00,-1.5593183492e+00,2.7585550219e-02,-4.7208784929e-01
3.2744145287e-04,-3.4848663414e+00,-1.5309698671e+00,2.9446259356e-02,-4.7909504688e-01
3.2744145287e-04,-3.4848663414e+00,-1.5026213849e+00,3.1432477625e-02,-4.8605731079e-01
3.2744145287e-04,-3.4848663414e+00,-1.4742729028e+00,3.3552670909e-02,-4.9297292239e-01
3.2744145287e-04,-3.4848663414e+00,-1.4459244206e+00,3.5815876131e-02,-4.9984041513e-01
3.2744145287e-04,-3.4848663414e+00,-1.4175759385e+00,3.8231739777e-02,-5.0666474253e-01
3.2744145287e-04,-3.4848663414e+00,-1.3892274563e+00,4.0810559012e-02,-5.1344644382e-01
3.2744145287e-04,-3.4848663414e+00,-1.3608789742e+00,4.3563325566e-02,-5.2018604822e-01
3.2744145287e-04,-3.4848663414e+00,-1.3325304920e+00,4.6501772588e-02,-5.2688407511e-01
3.2744145287e-04,-3.4848663414e+00,-1.3041820099e+00,4.9638424655e-02,-5.3354103436e-01
3.2744145287e-04,-3.4848663414e+00,-1.2758335278e+00,5.2986651156e-02,-5.4015742649e-01
3.2744145287e-04,-3.4848663414e+00,-1.2474850456e+00,5.6560723274e-02,-5.4673374293e-01
3.2744145287e-04,-3.4848663414e+00,-1.2191365635e+00,6.0375874820e-02,-5.5327046625e-01
3.2744145287e-04,-3.4848663414e+00,-1.1907880813e+00,6.4448367158e-02,-5.5976807033e-01
3.2744145287e-04,-3.4848663414e+00,-1.1624395992e+00,6.8795558519e-02,-5.6737051878e-01
3.2744145287e-04,-3.4848663414e+00,-1.1340911170e+00,7.3435977987e-02,-5.7535108248e-01
3.2744145287e-04,-3.4848663414e+00,-1.1057426349e+00,7.8389404477e-02,-5.8327341384e-01
3.2744145287e-04,-3.4848663414e+00,-1.0773941527e+00,8.3676951035e-02,-5.9113835654e-01
3.2744145287e-04,-3.4848663414e+00,-1.0490456706e+00,8.9321154832e-02,-5.9894673602e-01
3.2744145287e-04,-3.4848663414e+00,-1.0206971884e+00,9.5346073224e-02,-6.0669936008e-01
3.2744145287e-04,-3.4848663414e+00,-9.9234870628e-01,1.0177738629e-01,-6.1439701930e-01
3.2744145287e-04,-3.4848663414e+00,-9.6400022414e-01,1.0864250629e-01,-6.2204048758e-01
3.2744145287e-04,-3.4848663414e+00,-9.3565174199e-01,1.1597069451e-01,-6.2963052261e-01
3.2744145287e-04,-3.4848663414e+00,-9.0730325984e-01,1.2379318596e-01,-6.3716786625e-01
3.2744145287e-04,-3.4848663414e+00,-8.7895477770e-01,1.3214332255e-01,-6.4445260552e-01
3.2744145287e-04,-3.4848663414e+00,-8.5060629555e-01,1.4105669515e-01,-6.5000340389e-01
3.2744145287e-04,-3.4848663414e+00,-8.2225781340e-01,1.5057129535e-01,-6.5552596823e-01
3.2744145287e-04,-3.4848663414e+00,-7.9390933126e-01,1.6072767732e-01,-6.6102058431e-01
3.2744145287e-04,-3.4848663414e+00,-7.6556084911e-01,1.7156913073e-01,-6.6648753359e-01
3.2744145287e-04,-3.4848663414e+00,-7.3721236696e-01,1.8314186525e-01,-6.7192709329e-01
3.2744145287e-04,-3.4848663414e+00,-7.0886388481e-01,1.9549520746e-01,-6.7733953648e-01
3.2744145287e-04,-3.4848663414e+00,-6.8051540267e-01,2.0868181116e-01,-6.8272513218e-01
3.2744145287e-04,-3.4848663414e+00,-6.5216692052e-01,2.2275788177e-01,-6.8808414543e-01
3.2744145287e-04,-3.4848663414e+00,-6.2381843837e-01,2.3778341588e-01,-6.9341683734e-01
3.2744145287e-04,-3.4848663414e+00,-5.9546995623e-01,2.5382245701e-01,-6.9872346522e-01
3.2744145287e-04,-3.4848663414e+00,-5.6712147408e-01,2.7094336853e-01,-7.0742057963e-01
3.2744145287e-04,-3.4848663414e+00,-5.3877299193e-01,2.8921912513e-01,-7.1960844686e-01
3.2744145287e-04,-3.4848663414e+00,-5.1042450979e-01,3.0872762375e-01,-7.3166101727e-01
3.2744145287e-04,-3.4848663414e+00,-4.8207602764e-01,3.2955201571e-01,-7.4358126175e-01
3.2744145287e-04,-3.4848663414e+00,-4.5372754549e-01,3.5178106106e-01,-7.5537205442e-01
3.2744145287e-04,-3.4848663414e+00,-4.2537906335e-01,3.7550950690e-01,-7.6703617673e-01
3.2744145287e-04,-3.4848663414e+00,-3.9703058120e-01,4.0083849126e-01,-7.7835177523e-01
3.2744145287e-04,-3.4848663414e+00,-3.6868209905e-01,4.2787597419e-01,-7.8896528344e-01
3.2744145287e-04,-3.4848663414e+00,-3.4033361691e-01,4.5673719784e-01,-7.9947604393e-01
3.2744145287e-04,-3.4848663414e+00,-3.1198513476e-01,4.8754517775e-01,-8.0988602701e-01
3.2744145287e-04,-3.4848663414e+00,-2.8363665261e-01,5.2043122713e-01,-8.2019714685e-01
3.2744145287e-04,-3.4848663414e+00,-2.5528817047e-01,5.5553551657e-01,-8.2084175357e-01
3.2744145287e-04,-3.4848663414e+00,-2.2693968832e-01,5.9300767148e-01,-8.2002430048e-01
3.2744145287e-04,-3.4848663414e+00,-1.9859120617e-01,6.3300740988e-01,-8.1920623147e-01
3.2744145287e-04,-3.4848663414e+00,-1.7024272403e-01,6.7570522311e-01,-8.2495994682e-01
3.2744145287e-04,-3.4848663414e+00,-1.4189424188e-01,7.2128310255e-01,-8.3863726916e-01
3.2744145287e-04,-3.4848663414e+00,-1.1354575973e-01,7.6993531533e-01,-8.5214443572e-01
